blackforge_id,source_ref,title,pipeline_stage,stage_primary,functional_category,functional_category_primary,domain_scope,domain_primary,execution_scope,execution_scope_v2,tier,activation_tier,audit_score,quality_score_v2,review_status,change_reason,tier_relaxation_reason
BF-CYB-M800-0579,M800-0579,Ruta unidireccional,DIVERGIR,DIVERGIR,data_privacy_provenance,data_privacy_provenance,cybersecurity,cybersecurity,defensive_design,defensive_design,core,essential,66,64,approved_auto,tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-R1000-0375,R1000-0375,Interfaz de prueba mutua,DESCOMPONER,EVALUAR,trust_identity_access,architecture_topology,hybrid,cybersecurity,defensive_design,local_analysis,extended,essential,75,64,approved_auto,stage_reclassified;category_reclassified;domain_reclassified;execution_hardened;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0428,S800-0428,Autoridad adversarial,ATACAR,ATACAR,adversarial_threat,governance_incentives,cybersecurity,cybersecurity,defensive_design,defensive_design,extended,essential,66,63,approved_auto,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-L600-1544,L600-1544,Lente de sandboxing,MATERIALIZAR,CARTOGRAFIAR,experimentation_benchmarks,experimentation_benchmarks,hybrid,cybersecurity,local_analysis,conceptual_only,core,essential,66,63,approved_auto,stage_reclassified;domain_reclassified;execution_hardened;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-L600-1532,L600-1532,Lente de consentimiento granular,CARTOGRAFIAR,DELIMITAR,trust_identity_access,data_privacy_provenance,cybersecurity,cybersecurity,conceptual_only,defensive_design,core,essential,61,63,approved_auto,stage_reclassified;category_reclassified;execution_hardened;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0577,M800-0577,Atestación remota,DESCOMPONER,DESCOMPONER,evidence_verification,evidence_verification,hybrid,cybersecurity,defensive_design,defensive_design,core,essential,71,63,approved_auto,domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0872,S800-0872,Benchmark de transferencia,MATERIALIZAR,EVALUAR,evidence_verification,experimentation_benchmarks,developer_tools,cybersecurity,local_analysis,local_analysis,core,essential,82,63,approved_auto,stage_reclassified;category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0580,M800-0580,Consentimiento de alto riesgo,DIVERGIR,DELIMITAR,decision_risk,data_privacy_provenance,cybersecurity,cybersecurity,defensive_design,defensive_design,core,essential,66,62,approved_auto,stage_reclassified;category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0212,M800-0212,"Más acceso, menos abuso",ROMPER,ROMPER,trust_identity_access,trust_identity_access,hybrid,cybersecurity,defensive_design,defensive_design,core,essential,80,62,approved_auto,domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0792,S800-0792,Evaluador de daño diferido,EVALUAR,EVALUAR,experimentation_benchmarks,agents_ai_devtools,developer_tools,developer_tools,local_analysis,local_analysis,extended,essential,70,61,approved_auto,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0870,S800-0870,Benchmark adversarial vivo,ATACAR,EVALUAR,evidence_verification,experimentation_benchmarks,hybrid,cybersecurity,defensive_design,defensive_design,core,essential,87,61,approved_auto,stage_reclassified;category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0873,S800-0873,Benchmark de degradación,MATERIALIZAR,EVALUAR,evidence_verification,experimentation_benchmarks,developer_tools,cybersecurity,local_analysis,local_analysis,core,essential,82,61,approved_auto,stage_reclassified;category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0874,S800-0874,Benchmark de recuperación,MATERIALIZAR,EVALUAR,evidence_verification,experimentation_benchmarks,developer_tools,cybersecurity,local_analysis,local_analysis,core,essential,82,61,approved_auto,stage_reclassified;category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0878,S800-0878,Benchmark de coste oculto,MATERIALIZAR,EVALUAR,evidence_verification,experimentation_benchmarks,developer_tools,cybersecurity,local_analysis,local_analysis,core,essential,82,61,approved_auto,stage_reclassified;category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0007,M800-0007,Invertir la confianza,ROMPER,ROMPER,trust_identity_access,trust_identity_access,hybrid,cybersecurity,defensive_design,defensive_design,core,essential,87,61,approved_auto,domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0359,S800-0359,Reloj adversarial,ATACAR,ATACAR,adversarial_threat,adversarial_threat,cybersecurity,cybersecurity,defensive_design,defensive_design,extended,essential,75,60,approved_auto,tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0702,S800-0702,Agente con objetivo adversarial,ATACAR,ATACAR,adversarial_threat,agents_ai_devtools,hybrid,developer_tools,defensive_design,defensive_design,extended,essential,71,60,approved_auto,category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-R1000-0102,R1000-0102,Arqueología inversa,ROMPER,CARTOGRAFIAR,agents_ai_devtools,decision_risk,hybrid,cybersecurity,defensive_design,defensive_design,extended,essential,63,60,approved_auto,stage_reclassified;category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0309,M800-0309,Prueba de abandono,DIVERGIR,DESCOMPONER,experimentation_benchmarks,evidence_verification,developer_tools,cybersecurity,defensive_design,defensive_design,core,essential,74,60,approved_auto,stage_reclassified;category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-R1000-0183,R1000-0183,Incentivo adversarial,ATACAR,ATACAR,adversarial_threat,governance_incentives,cybersecurity,cybersecurity,defensive_design,defensive_design,extended,essential,68,59,approved_auto,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0249,M800-0249,Matriz de confianza,DIVERGIR,DESCOMPONER,trust_identity_access,trust_identity_access,hybrid,cybersecurity,defensive_design,defensive_design,core,essential,82,59,approved_auto,stage_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0556,M800-0556,Consenso de agentes,DIVERGIR,DIVERGIR,agents_ai_devtools,agents_ai_devtools,developer_tools,developer_tools,defensive_design,defensive_design,core,essential,71,59,approved_auto,tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0751,S800-0751,Razonamiento con premisas alquiladas,EVOLUCIONAR,ROMPER,experimentation_benchmarks,agents_ai_devtools,developer_tools,developer_tools,defensive_design,defensive_design,extended,essential,77,59,approved_auto,stage_reclassified;category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0769,S800-0769,Razonamiento por paradoja útil,EVOLUCIONAR,ROMPER,experimentation_benchmarks,agents_ai_devtools,developer_tools,developer_tools,defensive_design,defensive_design,extended,essential,77,59,approved_auto,stage_reclassified;category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0828,S800-0828,Prueba de idempotencia hostil,MATERIALIZAR,ATACAR,evidence_verification,evidence_verification,developer_tools,cybersecurity,local_analysis,defensive_design,core,essential,83,58,approved_auto,stage_reclassified;domain_reclassified;execution_hardened;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0225,S800-0225,Custodia contextual,DESCOMPONER,DESCOMPONER,trust_identity_access,causal_state_transitions,hybrid,cybersecurity,defensive_design,defensive_design,extended,essential,71,58,approved_auto,category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0566,M800-0566,Aislamiento por ejecución,DIVERGIR,DIVERGIR,failure_resilience,failure_resilience,cybersecurity,cybersecurity,defensive_design,defensive_design,core,essential,71,58,approved_auto,tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0318,M800-0318,Aprendizaje postfallo,EVOLUCIONAR,EVOLUCIONAR,evidence_verification,evidence_verification,developer_tools,cybersecurity,defensive_design,defensive_design,core,essential,82,58,approved_auto,domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0300,S800-0300,Arquitectura multidimensional,DIVERGIR,DELIMITAR,trust_identity_access,architecture_topology,cybersecurity,cybersecurity,defensive_design,defensive_design,extended,essential,70,57,approved_auto,stage_reclassified;category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-R1000-0880,R1000-0880,Analogía jurídica,DIVERGIR,DIVERGIR,experimentation_benchmarks,cross_domain_transfer,developer_tools,cybersecurity,defensive_design,defensive_design,extended,essential,72,57,approved_auto,category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0501,M800-0501,Sandbox regulatorio,MATERIALIZAR,MATERIALIZAR,experimentation_benchmarks,governance_incentives,cybersecurity,cybersecurity,local_analysis,local_analysis,extended,essential,66,57,approved_auto,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-R1000-0572,R1000-0572,Paradoja de confianza,ROMPER,ROMPER,trust_identity_access,trust_identity_access,hybrid,cybersecurity,defensive_design,defensive_design,extended,essential,77,57,approved_auto,domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0227,S800-0227,Fronteras móviles,DESCOMPONER,DESCOMPONER,trust_identity_access,architecture_topology,cybersecurity,cybersecurity,defensive_design,defensive_design,extended,essential,66,56,approved_auto,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0596,M800-0596,Escenario de identidad fluida,DIVERGIR,DIVERGIR,trust_identity_access,decision_risk,cybersecurity,cybersecurity,defensive_design,defensive_design,extended,essential,66,56,approved_auto,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-R1000-0065,R1000-0065,Evidencia obligatoria,EVOLUCIONAR,ROMPER,evidence_verification,evidence_verification,developer_tools,cybersecurity,defensive_design,defensive_design,core,essential,78,56,approved_auto,stage_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-R1000-0414,R1000-0414,Confianza adversarial,ATACAR,ATACAR,trust_identity_access,trust_identity_access,cybersecurity,cybersecurity,defensive_design,defensive_design,extended,essential,75,54,approved_auto,tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-R1000-0360,R1000-0360,Frontera múltiple,DESCOMPONER,DESCOMPONER,trust_identity_access,architecture_topology,cybersecurity,cybersecurity,defensive_design,defensive_design,extended,essential,66,53,approved_auto,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-R1000-0684,R1000-0684,Estado cifrado funcional,DESCOMPONER,DESCOMPONER,data_privacy_provenance,causal_state_transitions,hybrid,cybersecurity,defensive_design,defensive_design,extended,essential,76,53,approved_auto,category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0201,S800-0201,Topología negativa,DIVERGIR,DIVERGIR,agents_ai_devtools,architecture_topology,hybrid,cybersecurity,defensive_design,defensive_design,extended,essential,61,53,approved_auto,category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0255,S800-0255,Arquitectura alveolar,DIVERGIR,DIVERGIR,failure_resilience,architecture_topology,hybrid,cybersecurity,defensive_design,defensive_design,extended,essential,65,53,approved_auto,category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0266,S800-0266,Arquitectura de diques,DIVERGIR,DIVERGIR,failure_resilience,architecture_topology,hybrid,cybersecurity,defensive_design,defensive_design,extended,essential,65,53,approved_auto,category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0353,S800-0353,Reloj de identidad,DIVERGIR,DIVERGIR,trust_identity_access,causal_state_transitions,cybersecurity,cybersecurity,defensive_design,defensive_design,extended,essential,70,53,approved_auto,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-R1000-0594,R1000-0594,Juego de reputación anónima,ROMPER,ROMPER,data_privacy_provenance,data_privacy_provenance,cybersecurity,cybersecurity,defensive_design,defensive_design,extended,essential,71,51,approved_auto,tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0183,M800-0183,Sistema inmune,ATACAR,ATACAR,adversarial_threat,adversarial_threat,hybrid,cybersecurity,sandbox_required,sandbox_required,extended,essential,76,67,approved_with_guardrails,domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-L600-1541,L600-1541,Lente de envenenamiento de datos,ATACAR,CARTOGRAFIAR,data_privacy_provenance,adversarial_threat,cybersecurity,cybersecurity,sandbox_required,sandbox_required,core,essential,61,67,approved_with_guardrails,stage_reclassified;category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-L600-1549,L600-1549,Lente de fuzzing,ATACAR,CARTOGRAFIAR,experimentation_benchmarks,experimentation_benchmarks,cybersecurity,cybersecurity,sandbox_required,sandbox_required,core,essential,65,67,approved_with_guardrails,stage_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-L600-1550,L600-1550,Lente de fuzzing diferencial,ATACAR,CARTOGRAFIAR,experimentation_benchmarks,experimentation_benchmarks,cybersecurity,cybersecurity,sandbox_required,sandbox_required,core,essential,65,67,approved_with_guardrails,stage_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0565,M800-0565,Capacidad efímera,DIVERGIR,DIVERGIR,general_innovation,architecture_topology,cybersecurity,cybersecurity,defensive_design,sandbox_required,core,essential,66,67,approved_with_guardrails,category_reclassified;execution_hardened;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0295,M800-0295,Ataque de colusión,ATACAR,ATACAR,adversarial_threat,adversarial_threat,cybersecurity,cybersecurity,sandbox_required,sandbox_required,core,essential,71,66,approved_with_guardrails,tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0288,M800-0288,Ataque al incentivo,ATACAR,ATACAR,adversarial_threat,adversarial_threat,cybersecurity,cybersecurity,sandbox_required,sandbox_required,core,essential,71,64,approved_with_guardrails,tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-L600-1504,L600-1504,Lente ATT&CK,ATACAR,CARTOGRAFIAR,adversarial_threat,adversarial_threat,cybersecurity,cybersecurity,sandbox_required,sandbox_required,core,essential,61,64,approved_with_guardrails,stage_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-L600-1511,L600-1511,Lente de firma de commits,CARTOGRAFIAR,CARTOGRAFIAR,supply_chain_build,supply_chain_build,hybrid,cybersecurity,conceptual_only,defensive_design,core,core,71,61,approved_auto,domain_reclassified;execution_hardened;causal_axis_added;integration_contract_added,
BF-CYB-L600-1509,L600-1509,Lente de reproducibilidad de compilación,CARTOGRAFIAR,CARTOGRAFIAR,supply_chain_build,supply_chain_build,hybrid,cybersecurity,conceptual_only,conceptual_only,core,core,71,59,manual_review_recommended,domain_reclassified;causal_axis_added;integration_contract_added,
BF-CYB-L600-1156,L600-1156,Lente de dramaturgia social,CARTOGRAFIAR,CARTOGRAFIAR,trust_identity_access,human_factors,cybersecurity,cybersecurity,conceptual_only,defensive_design,extended,core,61,57,approved_auto,category_reclassified;execution_hardened;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-L600-1346,L600-1346,Lente de justicia climática,CARTOGRAFIAR,CARTOGRAFIAR,agents_ai_devtools,human_legal_ethics,cybersecurity,cybersecurity,conceptual_only,conceptual_only,extended,core,61,56,approved_auto,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0311,M800-0311,Tolerancia al error humano,DIVERGIR,DIVERGIR,failure_resilience,human_factors,hybrid,cybersecurity,defensive_design,defensive_design,core,core,65,53,approved_auto,category_reclassified;domain_reclassified;causal_axis_added;integration_contract_added,
BF-CYB-M800-0800,M800-0800,Ruleta de prohibiciones,DIVERGIR,ROMPER,agents_ai_devtools,novelty_diversity,hybrid,cybersecurity,defensive_design,defensive_design,extended,core,63,53,approved_auto,stage_reclassified;category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0623,S800-0623,Organización de misiones,DIVERGIR,DIVERGIR,human_factors,human_factors,hybrid,cybersecurity,defensive_design,defensive_design,extended,core,61,51,approved_auto,domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0786,M800-0786,Tecnología aleatoria,DIVERGIR,DIVERGIR,agents_ai_devtools,novelty_diversity,hybrid,cybersecurity,defensive_design,defensive_design,extended,core,63,50,approved_auto,category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0856,S800-0856,Mutación de alcance,MATERIALIZAR,DELIMITAR,evidence_verification,novelty_diversity,developer_tools,cybersecurity,local_analysis,defensive_design,core,core,80,48,approved_auto,stage_reclassified;category_reclassified;domain_reclassified;execution_hardened;causal_axis_added;integration_contract_added,
BF-CYB-S800-0857,S800-0857,Mutación de persistencia,MATERIALIZAR,EVOLUCIONAR,evidence_verification,novelty_diversity,developer_tools,cybersecurity,local_analysis,defensive_design,core,core,80,48,approved_auto,stage_reclassified;category_reclassified;domain_reclassified;execution_hardened;causal_axis_added;integration_contract_added,
BF-CYB-S800-0859,S800-0859,Mutación de observador,MATERIALIZAR,EVOLUCIONAR,evidence_verification,novelty_diversity,developer_tools,cybersecurity,local_analysis,defensive_design,core,core,80,48,approved_auto,stage_reclassified;category_reclassified;domain_reclassified;execution_hardened;causal_axis_added;integration_contract_added,
BF-CYB-M800-0561,M800-0561,Zero Trust,DIVERGIR,EVALUAR,trust_identity_access,trust_identity_access,cybersecurity,cybersecurity,defensive_design,defensive_design,core,core,81,64,approved_auto,stage_reclassified;causal_axis_added;integration_contract_added,
BF-CYB-L600-1525,L600-1525,Lente de seudonimización,CARTOGRAFIAR,CARTOGRAFIAR,data_privacy_provenance,data_privacy_provenance,cybersecurity,cybersecurity,conceptual_only,defensive_design,core,core,61,63,approved_auto,execution_hardened;causal_axis_added;integration_contract_added,
BF-CYB-L600-1524,L600-1524,Lente de tokenización,CARTOGRAFIAR,CARTOGRAFIAR,data_privacy_provenance,data_privacy_provenance,cybersecurity,cybersecurity,conceptual_only,conceptual_only,core,core,61,62,approved_auto,causal_axis_added;integration_contract_added,
BF-CYB-L600-1531,L600-1531,Lente de limitación de propósito,CARTOGRAFIAR,CARTOGRAFIAR,general_innovation,data_privacy_provenance,hybrid,cybersecurity,conceptual_only,conceptual_only,core,core,56,62,approved_auto,category_reclassified;domain_reclassified;causal_axis_added;integration_contract_added,
BF-CYB-S800-0801,S800-0801,Experimento espejo,MATERIALIZAR,MATERIALIZAR,evidence_verification,experimentation_benchmarks,developer_tools,cybersecurity,local_analysis,local_analysis,core,core,78,62,approved_auto,category_reclassified;domain_reclassified;causal_axis_added;integration_contract_added,
BF-CYB-L600-1239,L600-1239,Lente rawlsiana de bienes primarios,CARTOGRAFIAR,CARTOGRAFIAR,trust_identity_access,architecture_topology,cybersecurity,cybersecurity,conceptual_only,defensive_design,extended,core,61,61,approved_auto,category_reclassified;execution_hardened;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-L600-1519,L600-1519,Lente de sesión de riesgo adaptativo,ATACAR,CARTOGRAFIAR,adversarial_threat,decision_risk,cybersecurity,cybersecurity,conceptual_only,defensive_design,core,core,61,61,approved_auto,stage_reclassified;category_reclassified;execution_hardened;causal_axis_added;integration_contract_added,
BF-CYB-L600-1545,L600-1545,Lente de aislamiento por proceso,DESCOMPONER,CARTOGRAFIAR,trust_identity_access,failure_resilience,cybersecurity,cybersecurity,conceptual_only,defensive_design,core,core,70,61,approved_auto,stage_reclassified;category_reclassified;execution_hardened;causal_axis_added;integration_contract_added,
BF-CYB-M800-0574,M800-0574,Fail closed,EVALUAR,EVALUAR,evidence_verification,evidence_verification,cybersecurity,cybersecurity,local_analysis,local_analysis,core,core,70,61,approved_auto,causal_axis_added;integration_contract_added,
BF-CYB-R1000-0420,R1000-0420,Verificación por reconstrucción,EVALUAR,EVALUAR,trust_identity_access,evidence_verification,cybersecurity,cybersecurity,local_analysis,local_analysis,core,core,78,61,approved_auto,category_reclassified;causal_axis_added;integration_contract_added,
BF-CYB-S800-0692,S800-0692,Prueba del despedido,DIVERGIR,EVALUAR,trust_identity_access,evidence_verification,hybrid,cybersecurity,defensive_design,defensive_design,extended,core,75,61,approved_auto,stage_reclassified;category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0865,S800-0865,Oráculo por reconstrucción,MATERIALIZAR,EVALUAR,evidence_verification,evidence_verification,developer_tools,cybersecurity,local_analysis,local_analysis,core,core,82,61,approved_auto,stage_reclassified;domain_reclassified;causal_axis_added;integration_contract_added,
BF-CYB-S800-0895,S800-0895,Verificación por prueba transportable,MATERIALIZAR,EVALUAR,evidence_verification,evidence_verification,developer_tools,cybersecurity,local_analysis,local_analysis,core,core,82,61,approved_auto,stage_reclassified;domain_reclassified;causal_axis_added;integration_contract_added,
